ax,ay,az,rx,ry,rz,timestamp
0.545974,10.012912,-0.528034,-0.023024569999999998,-0.00519051,-0.008384669999999999,1746801818871691
0.550758,9.99557,-0.517868,-0.023157659999999997,-0.00465815,-0.00825158,1746801838853211
0.550758,9.996766000000001,-0.530426,-0.023556929999999997,-0.004924329999999999,-0.007719219999999999,1746801858834871
0.563914,9.997962,-0.510094,-0.02408929,-0.00505742,-0.008384669999999999,1746801878816731
0.5411900000000001,9.987796,-0.530426,-0.024754739999999997,-0.00572287,-0.00851776,1746801898798411
0.5411900000000001,9.993776,-0.498732,-0.023956199999999997,-0.004525059999999999,-0.00678759,1746801918780211
0.545376,9.996766000000001,-0.525044,-0.024222379999999998,-0.00519051,-0.007453039999999999,1746801938761911
0.560326,9.994374,-0.522652,-0.024355469999999997,-0.0047912399999999996,-0.007719219999999999,1746801958743591
0.543582,9.985404,-0.534612,-0.02448856,-0.004525059999999999,-0.00825158,1746801978725251
0.543582,9.993776,-0.531024,-0.023823109999999998,-0.00505742,-0.007586129999999999,1746801998706891
0.55913,10.006932,-0.526838,-0.023556929999999997,-0.0047912399999999996,-0.007453039999999999,1746802018688511
0.553748,10.006334,-0.5094960000000001,-0.02448856,-0.00505742,-0.007719219999999999,1746802038670231
0.554346,10.006932,-0.525642,-0.02462165,-0.00505742,-0.007719219999999999,1746802058652111
0.55016,10.006932,-0.520858,-0.023556929999999997,-0.00612214,-0.008118489999999999,1746802078633731
0.543582,10.021284,-0.51428,-0.023423839999999998,-0.004525059999999999,-0.00825158,1746802098615491
0.5519540000000001,10.00155,-0.50531,-0.023956199999999997,-0.0053235999999999995,-0.00825158,1746802118597231
0.55016,9.996168,-0.50232,-0.02408929,-0.0053235999999999995,-0.0073199499999999995,1746802138578751
0.548366,10.009324,-0.521456,-0.023556929999999997,-0.00572287,-0.0079854,1746802158560071
0.539396,10.000354,-0.537602,-0.02369002,-0.00505742,-0.0079854,1746802178541691
0.547768,9.996168,-0.521456,-0.023956199999999997,-0.0053235999999999995,-0.007719219999999999,1746802198523411
0.554944,10.009324,-0.515476,-0.022226029999999997,-0.0053235999999999995,-0.0079854,1746802218505071
0.537602,9.99557,-0.506506,-0.023423839999999998,-0.005589779999999999,-0.00785231,1746802238486911
0.552552,10.008726,-0.504114,-0.023556929999999997,-0.0047912399999999996,-0.00865085,1746802258468691
0.5519540000000001,10.008726,-0.511888,-0.023823109999999998,-0.004924329999999999,-0.0079854,1746802278450291
0.539396,10.008128,-0.51129,-0.02408929,-0.0058559599999999995,-0.00825158,1746802298432031
0.549562,9.99856,-0.537602,-0.02369002,-0.00612214,-0.0079854,1746802318413811
0.551356,10.0165,-0.50232,-0.023956199999999997,-0.00519051,-0.006521409999999999,1746802338395451
0.552552,10.007530000000001,-0.531622,-0.023823109999999998,-0.00572287,-0.00785231,1746802358377131
0.545974,9.999756,-0.533416,-0.024355469999999997,-0.00572287,-0.00865085,1746802378358671
0.5519540000000001,10.012912,-0.51727,-0.024355469999999997,-0.005456689999999999,-0.00785231,1746802398340151
0.540592,9.999756,-0.51428,-0.02408929,-0.0058559599999999995,-0.008384669999999999,1746802418321651
0.552552,10.003344,-0.513682,-0.023556929999999997,-0.00519051,-0.009183209999999999,1746802438303271
0.553748,10.007530000000001,-0.525044,-0.023423839999999998,-0.0047912399999999996,-0.00851776,1746802458284891
0.5411900000000001,9.999158,-0.537602,-0.02502092,-0.0053235999999999995,-0.00851776,1746802478266631
0.5519540000000001,9.98062,-0.53521,-0.025287099999999996,-0.004525059999999999,-0.00825158,1746802498248311
0.553748,9.994972,-0.504712,-0.024222379999999998,-0.004924329999999999,-0.007719219999999999,1746802518229851
0.547768,9.991384,-0.49514400000000003,-0.024355469999999997,-0.004924329999999999,-0.00825158,1746802538211471
0.541788,10.006932,-0.513084,-0.025553279999999998,-0.004924329999999999,-0.00678759,1746802558193131
0.54717,10.007530000000001,-0.502918,-0.02462165,-0.00505742,-0.00785231,1746801579174731
0.548366,9.997962,-0.517868,-0.023823109999999998,-0.0047912399999999996,-0.007586129999999999,1746801599156351
0.536406,10.007530000000001,-0.521456,-0.024355469999999997,-0.0047912399999999996,-0.007053769999999999,1746801619138051
0.557336,9.999158,-0.545376,-0.023823109999999998,-0.0058559599999999995,-0.00785231,1746801639119691
0.555542,9.997962,-0.520858,-0.023423839999999998,-0.005589779999999999,-0.007453039999999999,1746801659101211
0.542984,9.996168,-0.542386,-0.023823109999999998,-0.00519051,-0.007719219999999999,1746801679082711
0.5358080000000001,9.996766000000001,-0.531024,-0.02289148,-0.004391969999999999,-0.00825158,1746801699064151
0.552552,9.999756,-0.511888,-0.023024569999999998,-0.00505742,-0.0079854,1746801719045791
0.554944,9.99557,-0.518466,-0.02369002,-0.005456689999999999,-0.007719219999999999,1746801739027271
