ax,ay,az,rx,ry,rz,timestamp
0.354614,-9.567402,-0.686504,-0.02542019,-0.0047912399999999996,-0.006654499999999999,1746801434582917
0.360594,-9.570392,-0.684112,-0.024355469999999997,-0.00412579,-0.007053769999999999,1746801454556397
0.351624,-9.576372000000001,-0.6942780000000001,-0.024222379999999998,-0.004924329999999999,-0.00678759,1746801474529877
0.365976,-9.568598,-0.67574,-0.024355469999999997,-0.00519051,-0.007586129999999999,1746801494503217
0.365378,-9.567402,-0.6996600000000001,-0.024355469999999997,-0.00425888,-0.007586129999999999,1746801514476617
0.34385,-9.566206,-0.688896,-0.02502092,-0.0039927,-0.00718686,1746801534449997
0.355212,-9.573382,-0.68471,-0.024222379999999998,-0.00519051,-0.0073199499999999995,1746801554423417
0.348634,-9.574578,-0.688896,-0.024222379999999998,-0.00412579,-0.006521409999999999,1746801574396837
0.359398,-9.570392,-0.6942780000000001,-0.02448856,-0.0047912399999999996,-0.00612214,1746801594370177
0.35581,-9.552452,-0.709228,-0.024222379999999998,-0.0053235999999999995,-0.007053769999999999,1746801614343497
0.342056,-9.56202,-0.682916,-0.02448856,-0.00519051,-0.007586129999999999,1746801634316997
0.35581,-9.575774000000001,-0.67275,-0.025154009999999997,-0.005456689999999999,-0.007453039999999999,1746801654290517
0.34983000000000003,-9.564412,-0.677534,-0.024754739999999997,-0.00519051,-0.006654499999999999,1746801674263977
0.35282,-9.564412,-0.70265,-0.024222379999999998,-0.00572287,-0.006654499999999999,1746801694237377
0.342056,-9.565010000000001,-0.676936,-0.024887829999999996,-0.005989049999999999,-0.0073199499999999995,1746801714210877
0.361192,-9.579362,-0.683514,-0.02408929,-0.004924329999999999,-0.007586129999999999,1746801734184457
0.357006,-9.55903,-0.695474,-0.023823109999999998,-0.0047912399999999996,-0.00785231,1746801754158077
0.351624,-9.570392,-0.6679660000000001,-0.024754739999999997,-0.004924329999999999,-0.006654499999999999,1746801774131417
0.340262,-9.55903,-0.67574,-0.02502092,-0.0047912399999999996,-0.007586129999999999,1746801794104797
0.348036,-9.565608000000001,-0.693082,-0.025553279999999998,-0.00465815,-0.0073199499999999995,1746801814078217
0.35581,-9.575774000000001,-0.684112,-0.02448856,-0.00519051,-0.006920679999999999,1746801834051717
0.354016,-9.565608000000001,-0.684112,-0.02448856,-0.004924329999999999,-0.00785231,1746801854025257
0.36298600000000003,-9.566206,-0.663182,-0.02462165,-0.00465815,-0.0079854,1746801873998697
0.346242,-9.565010000000001,-0.68471,-0.024887829999999996,-0.00505742,-0.00785231,1746801893972297
0.345644,-9.575774000000001,-0.686504,-0.023956199999999997,-0.00505742,-0.006521409999999999,1746801913945697
0.345644,-9.568598,-0.681122,-0.024222379999999998,-0.0053235999999999995,-0.0073199499999999995,1746801933919117
0.356408,-9.566206,-0.687102,-0.024887829999999996,-0.00612214,-0.0079854,1746801953892637
0.346242,-9.559628,-0.682318,-0.02502092,-0.0047912399999999996,-0.00825158,1746801973866397
0.34684,-9.557834,-0.702052,-0.024754739999999997,-0.004525059999999999,-0.00785231,1746801993839857
0.329498,-9.563216,-0.698464,-0.025154009999999997,-0.00412579,-0.00718686,1746802013813517
0.352222,-9.568,-0.691886,-0.024887829999999996,-0.00465815,-0.007053769999999999,1746802033787277
0.352222,-9.562618,-0.697268,-0.024887829999999996,-0.005589779999999999,-0.006388319999999999,1746802053760757
0.35581,-9.566206,-0.68172,-0.023823109999999998,-0.004525059999999999,-0.006920679999999999,1746802073734137
0.365976,-9.55903,-0.69667,-0.023956199999999997,-0.00505742,-0.0073199499999999995,1746802093707717
0.352222,-9.572784,-0.69368,-0.02502092,-0.004924329999999999,-0.007053769999999999,1746802113681357
0.35282,-9.566206,-0.693082,-0.02462165,-0.00505742,-0.007586129999999999,1746802133655077
