ax,ay,az,rx,ry,rz,timestamp
10.032646,-0.06279,-0.845572,-0.023823109999999998,-0.004924329999999999,-0.0079854,1746801981171633
10.02547,-0.052026,-0.836004,-0.02542019,-0.0047912399999999996,-0.006388319999999999,1746802001143953
10.020088,-0.066378,-0.83421,-0.02408929,-0.00412579,-0.006654499999999999,1746802021116293
10.027264,-0.058006,-0.8527480000000001,-0.02502092,-0.004924329999999999,-0.006920679999999999,1746802041088693
10.026068,-0.052026,-0.84916,-0.025553279999999998,-0.00412579,-0.007719219999999999,1746802061060893
10.018294000000001,-0.067574,-0.8581300000000001,-0.025686369999999997,-0.00425888,-0.007719219999999999,1746802081033213
10.02547,-0.056212,-0.853944,-0.024355469999999997,-0.004924329999999999,-0.0073199499999999995,1746802101005533
10.02846,-0.050232,-0.854542,-0.023956199999999997,-0.005456689999999999,-0.007719219999999999,1746802120977813
10.015304,-0.056212,-0.846768,-0.02408929,-0.00519051,-0.00678759,1746802140950133
10.023676,-0.062192,-0.865904,-0.025154009999999997,-0.006388319999999999,-0.006521409999999999,1746802160922373
10.030254,-0.060398,-0.85514,-0.02542019,-0.00505742,-0.00718686,1746802180894333
10.020686,-0.053222,-0.859924,-0.02448856,-0.00465815,-0.007453039999999999,1746802200866473
10.017696,-0.05382,-0.8473660000000001,-0.025287099999999996,-0.00412579,-0.006920679999999999,1746802220838633
10.020088,-0.07295600000000001,-0.853944,-0.02369002,-0.0038596099999999994,-0.007053769999999999,1746801241810753
10.017696,-0.060398,-0.833612,-0.023956199999999997,-0.00425888,-0.007586129999999999,1746801261782793
10.036832,-0.04485,-0.850954,-0.024355469999999997,-0.0039927,-0.007586129999999999,1746801281754893
10.02846,-0.06279,-0.830622,-0.023823109999999998,-0.00465815,-0.006654499999999999,1746801301727013
10.029656,-0.059202,-0.859924,-0.02369002,-0.0047912399999999996,-0.006920679999999999,1746801321699233
10.01949,-0.05083,-0.861718,-0.023956199999999997,-0.004391969999999999,-0.0073199499999999995,1746801341671373
10.015304,-0.058006,-0.830024,-0.02462165,-0.0053235999999999995,-0.007453039999999999,1746801361643533
10.020088,-0.051428,-0.854542,-0.02462165,-0.005456689999999999,-0.006521409999999999,1746801381615693
10.030852,-0.051428,-0.828828,-0.023823109999999998,-0.00425888,-0.006654499999999999,1746801401587833
10.026068,-0.055614000000000004,-0.85215,-0.02408929,-0.0053235999999999995,-0.006920679999999999,1746801421560033
10.014706,-0.06877,-0.844974,-0.024754739999999997,-0.005456689999999999,-0.0073199499999999995,1746801441532233
10.024274,-0.046644,-0.844376,-0.025553279999999998,-0.005456689999999999,-0.007453039999999999,1746801461504453
10.035636,-0.056212,-0.845572,-0.025154009999999997,-0.0053235999999999995,-0.007586129999999999,1746801481476633
10.02846,-0.055016,-0.825838,-0.024887829999999996,-0.00505742,-0.006920679999999999,1746801501448693
10.011716,-0.060398,-0.847964,-0.02408929,-0.004391969999999999,-0.00678759,1746801521420953
10.015304,-0.062192,-0.859924,-0.023556929999999997,-0.004924329999999999,-0.006521409999999999,1746801541393013
10.024274,-0.05382,-0.824044,-0.024222379999999998,-0.005589779999999999,-0.006654499999999999,1746801561365153
10.024274,-0.049036,-0.853944,-0.023956199999999997,-0.004391969999999999,-0.0073199499999999995,1746801581337293
10.01949,-0.04784,-0.840788,-0.02448856,-0.004525059999999999,-0.006654499999999999,1746801601309473
10.01052,-0.040066,-0.850356,-0.024754739999999997,-0.0047912399999999996,-0.007453039999999999,1746801621281653
10.046998,-0.057408,-0.850954,-0.024887829999999996,-0.00505742,-0.006521409999999999,1746801641253833
10.02248,-0.052026,-0.866502,-0.024754739999999997,-0.00572287,-0.007586129999999999,1746801681198133
10.020088,-0.052026,-0.85514,-0.024754739999999997,-0.005589779999999999,-0.006388319999999999,1746801701170353
10.014706,-0.068172,-0.851552,-0.025287099999999996,-0.0053235999999999995,-0.00678759,1746801721142473
10.02248,-0.065182,-0.842582,-0.02502092,-0.005589779999999999,-0.00678759,1746801741114593
10.03444,-0.05083,-0.848562,-0.02408929,-0.0053235999999999995,-0.007719219999999999,1746801761086793
10.03743,-0.05681,-0.845572,-0.02448856,-0.004391969999999999,-0.0079854,1746801781058913
10.024274,-0.055016,-0.856336,-0.024222379999999998,-0.005589779999999999,-0.00825158,1746801801031133
10.014108,-0.053222,-0.85215,-0.02448856,-0.00572287,-0.006920679999999999,1746801821003333
10.02547,-0.04485,-0.8527480000000001,-0.024355469999999997,-0.00465815,-0.008118489999999999,1746801840975533
10.02248,-0.063986,-0.86112,-0.025553279999999998,-0.00519051,-0.007719219999999999,1746801860947853
10.02547,-0.068172,-0.843778,-0.024887829999999996,-0.0047912399999999996,-0.0073199499999999995,1746801880920073
10.029058000000001,-0.064584,-0.839592,-0.024754739999999997,-0.004525059999999999,-0.006654499999999999,1746801900892313
10.020088,-0.06697600000000001,-0.835406,-0.025154009999999997,-0.0047912399999999996,-0.00825158,1746801920864593
10.021284,-0.056212,-0.842582,-0.02502092,-0.00519051,-0.00625523,1746801940836913
10.02846,-0.06279,-0.841386,-0.02462165,-0.005456689999999999,-0.007453039999999999,1746801960809093
10.024274,-0.063388,-0.8581300000000001,-0.024887829999999996,-0.0047912399999999996,-0.007053769999999999,1746801980781373
10.023676,-0.06697600000000001,-0.844376,-0.02408929,-0.00519051,-0.0073199499999999995,1746802000753653
