ax,ay,az,rx,ry,rz,timestamp
0.361192,0.26312,-10.377094,-0.024222379999999998,-0.0053235999999999995,-0.007586129999999999,1746802046359824
0.379132,0.263718,-10.4052,-0.02369002,-0.004391969999999999,-0.006920679999999999,1746802066335184
0.374348,0.270894,-10.38726,-0.024222379999999998,-0.00465815,-0.00678759,1746802086310644
0.365378,0.277472,-10.400416,-0.024754739999999997,-0.00465815,-0.009050119999999998,1746802106286044
0.365976,0.26611,-10.395034,-0.02448856,-0.00465815,-0.008384669999999999,1746802126261484
0.37674,0.259532,-10.401014,-0.02369002,-0.004924329999999999,-0.00851776,1746802146236864
0.389298,0.274482,-10.39922,-0.023956199999999997,-0.00519051,-0.007719219999999999,1746802166212264
0.379132,0.264316,-10.390848,-0.02369002,-0.004525059999999999,-0.006654499999999999,1746802186187504
0.37614200000000003,0.276874,-10.373506,-0.024887829999999996,-0.0039927,-0.007453039999999999,1746802206162764
0.357604,0.276276,-10.41118,-0.02448856,-0.004525059999999999,-0.0079854,1746802226138164
0.37973,0.26611,-10.406994000000001,-0.024355469999999997,-0.0047912399999999996,-0.008384669999999999,1746802246113564
0.371358,0.27328600000000003,-10.383074,-0.02369002,-0.00465815,-0.00785231,1746802266089004
0.373152,0.276874,-10.367526,-0.024754739999999997,-0.004391969999999999,-0.007586129999999999,1746802286064524
0.37674,0.260728,-10.37829,-0.02448856,-0.0047912399999999996,-0.008384669999999999,1746802306039844
0.382122,0.25415,-10.420748,-0.025154009999999997,-0.0037265199999999997,-0.008384669999999999,1746802326015364
0.377338,0.2691,-10.377094,-0.02408929,-0.004391969999999999,-0.0073199499999999995,1746802345990584
0.3588,0.269698,-10.392044,-0.02462165,-0.004525059999999999,-0.008783939999999999,1746802365965844
0.372554,0.270296,-10.381878,-0.022758389999999996,-0.00412579,-0.007453039999999999,1746802385941104
0.359996,0.264914,-10.39922,-0.023956199999999997,-0.0047912399999999996,-0.00678759,1746802405916384
0.366574,0.276276,-10.38427,-0.024355469999999997,-0.0058559599999999995,-0.008384669999999999,1746802425891764
0.37375,0.276874,-10.40221,-0.023823109999999998,-0.004924329999999999,-0.00891703,1746802445867104
0.374348,0.264914,-10.391446,-0.02408929,-0.00505742,-0.00825158,1746802465842464
0.371956,0.261326,-10.396230000000001,-0.02408929,-0.00505742,-0.00785231,1746802485817844
0.374348,0.273884,-10.39025,-0.023024569999999998,-0.00572287,-0.007453039999999999,1746802505793204
0.36298600000000003,0.252356,-10.381878,-0.024754739999999997,-0.0047912399999999996,-0.00785231,1746802525768464
0.383318,0.269698,-10.406994000000001,-0.024754739999999997,-0.004924329999999999,-0.00825158,1746802545743804
0.38152400000000003,0.276276,-10.406994000000001,-0.024887829999999996,-0.00572287,-0.00851776,1746802565719224
0.371956,0.279266,-10.396230000000001,-0.024222379999999998,-0.0039927,-0.007453039999999999,1746802585694624
0.37375,0.273884,-10.415366,-0.023956199999999997,-0.004391969999999999,-0.007719219999999999,1746802605669984
0.366574,0.278668,-10.41716,-0.02462165,-0.00465815,-0.008118489999999999,1746802625645284
0.36478,0.2691,-10.412974,-0.024222379999999998,-0.0047912399999999996,-0.007453039999999999,1746802645620624
0.37973,0.27807,-10.377692,-0.023423839999999998,-0.00505742,-0.007453039999999999,1746802665595904
0.377338,0.280462,-10.399818,-0.02408929,-0.00505742,-0.007586129999999999,1746802685571224
0.375544,0.26790400000000003,-10.389054,-0.023556929999999997,-0.00519051,-0.007719219999999999,1746802705546604
0.374946,0.268502,-10.393838,-0.02448856,-0.004924329999999999,-0.0079854,1746802725521884
0.380926,0.276276,-10.389054,-0.024222379999999998,-0.005589779999999999,-0.008118489999999999,1746802745497404
0.37973,0.26611,-10.383074,-0.02408929,-0.00519051,-0.006654499999999999,1746802765472804
0.37614200000000003,0.270894,-10.400416,-0.02448856,-0.00505742,-0.00678759,1746802785448244
0.365378,0.264914,-10.405798,-0.02448856,-0.00519051,-0.00678759,1746802805423644
0.380328,0.268502,-10.404602,-0.02448856,-0.00465815,-0.009050119999999998,1746802825399124
0.37375,0.265512,-10.409386,-0.02448856,-0.005589779999999999,-0.009050119999999998,1746802845374484
0.370162,0.25714,-10.395034,-0.025553279999999998,-0.00505742,-0.008384669999999999,1746802865350004
0.375544,0.273884,-10.390848,-0.02542019,-0.0047912399999999996,-0.00865085,1746802885325404
0.360594,0.279864,-10.384868,-0.024887829999999996,-0.005456689999999999,-0.008118489999999999,1746802905300704
0.377936,0.270296,-10.410582,-0.02462165,-0.00505742,-0.0073199499999999995,1746801926275984
0.382122,0.26790400000000003,-10.395632,-0.024355469999999997,-0.0039927,-0.006920679999999999,1746801946251344
0.371956,0.27328600000000003,-10.392642,-0.024754739999999997,-0.00505742,-0.007053769999999999,1746801966226664
0.375544,0.26312,-10.406994000000001,-0.024355469999999997,-0.00519051,-0.00718686,1746801986202084
0.37674,0.27807,-10.415366,-0.02408929,-0.00519051,-0.007053769999999999,1746802006177364
0.377936,0.276874,-10.39922,-0.024754739999999997,-0.00519051,-0.00625523,1746802026152744
0.379132,0.272688,-10.386064,-0.02502092,-0.0053235999999999995,-0.006521409999999999,1746802046128184
0.368966,0.269698,-10.403406,-0.024754739999999997,-0.00519051,-0.006920679999999999,1746802066103484
0.377338,0.270894,-10.380682,-0.02369002,-0.0053235999999999995,-0.008384669999999999,1746802086078804
0.365378,0.27508,-10.385466000000001,-0.023556929999999997,-0.00519051,-0.00851776,1746802106054224
0.364182,0.27209,-10.379486,-0.02408929,-0.00412579,-0.0073199499999999995,1746802126029564
0.37076,0.270894,-10.392044,-0.024355469999999997,-0.00505742,-0.00718686,1746802146004824
0.367172,0.264316,-10.390848,-0.023956199999999997,-0.004924329999999999,-0.007586129999999999,1746802165980244
0.360594,0.288834,-10.406994000000001,-0.023823109999999998,-0.004391969999999999,-0.008118489999999999,1746802185955624
0.369564,0.270894,-10.402808,-0.02448856,-0.004391969999999999,-0.00718686,1746802205930924
